Fusion Mode,AUC,Precision,Recall,F1
OR,0.5322995202193284,0.7098330241187384,0.10926433630340415,0.18937781517596397
AND,0.500970984692712,0.9047619047619048,0.002170436371944254,0.004330484330484331
MAJORITY,0.5087103038610921,0.9635258358662614,0.018106008681745486,0.03554409373773617
