Fusion Mode,AUC,Precision,Recall,F1,Type
OR,0.5310959281680894,0.9589778428093646,0.1070285024408167,0.1925653873396469,Full
AND,0.5009145640042769,0.9913294797687862,0.0020004782484442,0.003992898926108,Full
MAJORITY,0.5087188814167116,0.9970845481049564,0.0179518135530943,0.0352686397855006,Full
OR,0.5322995202193284,0.7098330241187384,0.1092643363034041,0.1893778151759639,Balanced
AND,0.500970984692712,0.9047619047619048,0.0021704363719442,0.0043304843304843,Balanced
MAJORITY,0.5087103038610921,0.9635258358662614,0.0181060086817454,0.0355440937377361,Balanced
