Model,AUC,Precision,Recall,F1
VAE,0.9826852920606819,0.9994708434755001,0.055080223260371285,0.1044066597386517
Isolation Forest,0.9226002881213891,0.973214778814823,0.9249908141304919,0.9484902309058615
KMeans,0.974199591138714,0.9993650121706,0.05507439096227086,0.1043956043956044
