Fusion Mode,AUC,Precision,Recall,F1
OR,0.5326136623257939,0.7113249444855663,0.10977838702307517,0.19020286986640278
AND,0.5011708933059172,0.9361702127659575,0.002513136851724926,0.005012816861293079
MAJORITY,0.508653187114462,0.9809523809523809,0.017649074708704592,0.034674297256354146
